trait	tissue	omics	qtl_name	M_tested_unique_probes	p_bonf_panel	n_pass_probes	n_pass_unique_genes	n_pass_unique_probe_id	min_p_smr_pass	top_gene_pass	top_probe_pass	top_snp_pass
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Spinal_cord_cervical_c-1	934	5.35331905781585e-05	0	0	0				
Delirium	Brain	sQTL	sQTL_GTEx_Brain_Substantia_nigra	725	6.89655172413793e-05	0	0	0				
Delirium	KidneyCortex	eQTL	eQTL_GTEx_Kidney_Cortex	262	0.000190839694656489	0	0	0				
Delirium	KidneyCortex	sQTL	sQTL_GTEx_Kidney_Cortex	459	0.000108932461873638	0	0	0				
Delirium	Liver	eQTL	eQTL_GTEx_Liver	1555	3.21543408360129e-05	0	0	0				
Delirium	Liver	sQTL	sQTL_GTEx_Liver	1188	4.20875420875421e-05	0	0	0				
Delirium	Pituitary	eQTL	eQTL_GTEx_Pituitary	2402	2.08159866777685e-05	1	1	1	2.023384e-05	CEACAM19	ENSG00000186567.12	rs714948
Delirium	Pituitary	sQTL	sQTL_GTEx_Pituitary	2044	2.44618395303327e-05	0	0	0				
Delirium	Spleen	eQTL	eQTL_GTEx_Spleen	2961	1.68861870989531e-05	0	0	0				
Delirium	Spleen	sQTL	sQTL_GTEx_Spleen	1993	2.50878073256397e-05	0	0	0				
Ferritin	Blood	eQTL	eQTL_eQTLGen	11110	4.5004500450045e-06	23	23	23	3.738353e-19	SLC11A2	ENSG00000110911	rs1095998
Ferritin	Blood	mQTL	mQTL_McRae	13148	3.8028597505324e-06	40	40	40	2.480276e-17	TEX14	cg19208681	rs8082334
Ferritin	Blood	pQTL	pQTL_FENLAND	1542	3.24254215304799e-05	6	6	6	1.788659e-10	GCKR	X5223_59_GCKR	rs1260326
Ferritin	Blood	pQTL	pQTL_INTERVAL	616	8.11688311688312e-05	5	5	5	6.682152e-12	MPO	MPO.2580.83.2	rs75394768
Ferritin	Blood	pQTL	pQTL_SCALLOP	71	0.000704225352112676	1	1	1	1.706897e-05	FST	FS	rs31226
Ferritin	Blood	sQTL	sQTL_GTEx_Whole_Blood	1925	2.5974025974026e-05	10	10	10	2.753734e-08	MS4A7	chr11:60383288:60386717:clu_6135:ENSG00000166927.12	rs950803
Ferritin	Brain	eQTL	eQTL_BrainMeta	10519	4.75330354596445e-06	12	12	12	3.01971e-08	MS4A14	ENSG00000166928.11	rs950803
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Amygdala	768	6.51041666666667e-05	4	4	4	6.040429e-07	TOGARAM2	ENSG00000189350.12	rs7569310
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Anterior_cingulate_cortex_BA24	1155	4.32900432900433e-05	3	3	3	3.33563e-08	ORMDL1	ENSG00000128699.13	rs2017410
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Caudate_basal_ganglia	2060	2.42718446601942e-05	7	7	7	2.664681e-08	MPST	ENSG00000128309.16	rs5756487
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Cerebellar_Hemisphere	2721	1.83755972069092e-05	8	8	8	2.293034e-11	ORMDL1	ENSG00000128699.13	rs10207346
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Cerebellum	3395	1.47275405007364e-05	8	8	8	3.339389e-08	SORD	ENSG00000140263.13	rs4774514
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Cortex	2391	2.09117524048515e-05	7	7	7	1.025363e-06	SPATA5L1	ENSG00000171763.18	rs7402632
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Frontal_Cortex_BA9	1771	2.82326369282891e-05	5	5	5	2.124025e-10	SORD	ENSG00000140263.13	rs4774514
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Hippocampus	1279	3.90930414386239e-05	7	7	7	1.208007e-09	RAD51C	ENSG00000108384.14	rs10515159
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Hypothalamus	1247	4.00962309542903e-05	8	8	8	9.352866e-14	RAD51C	ENSG00000108384.14	rs67014405
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Nucleus_accumbens_basal_ganglia	1959	2.55232261357836e-05	11	11	11	8.268119e-11	RAD51C	ENSG00000108384.14	rs12948424
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Putamen_basal_ganglia	1674	2.9868578255675e-05	9	9	9	9.176868e-10	ORMDL1	ENSG00000128699.13	rs4667299
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Spinal_cord_cervical_c-1	1072	4.66417910447761e-05	5	5	5	5.042911e-10	ORMDL1	ENSG00000128699.13	rs6756571
Ferritin	Brain	eQTL	eQTL_GTEx_Brain_Substantia_nigra	696	7.18390804597701e-05	4	4	4	6.617459e-06	SPATA5L1	ENSG00000171763.18	rs1346266
Ferritin	Brain	mQTL	mQTL_BrainMeta	14598	3.425126729689e-06	35	35	35	4.301001e-17	HSF5	cg22956635	rs2240719
Ferritin	Brain	sQTL	sQTL_BrainMeta	9471	5.2792735719565e-06	14	14	14	8.083334e-20	NOD1	chr7:30499657:30503225:clu_265761_	rs2190504
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Amygdala	830	6.02409638554217e-05	3	3	3	2.360299e-05	MUTYH	chr1:45329437:45330516:clu_33910:ENSG00000132781.17	rs12139364
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Anterior_cingulate_cortex_BA24	1020	4.90196078431373e-05	3	3	3	1.169119e-07	PMS1	chr2:189805754:189818017:clu_34364:ENSG00000064933.17	rs62183652
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Caudate_basal_ganglia	1315	3.80228136882129e-05	6	6	6	8.096826e-09	NOD1	chr7:30460041:30478606:clu_25513:ENSG00000106100.10	rs1558067
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Cerebellar_Hemisphere	1805	2.77008310249308e-05	9	9	9	5.551993e-11	RNFT1	chr17:59954146:59956488:clu_12266:ENSG00000189050.15	rs1292046
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Cerebellum	1971	2.53678335870117e-05	5	5	5	3.426019e-06	MUTYH	chr1:45329437:45330516:clu_45515:ENSG00000132781.17	rs12139364
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Cortex	1489	3.35795836131632e-05	4	4	4	6.977435e-06	MGRN1	chr16:4683932:4688796:clu_13664:ENSG00000102858.12	rs841225
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Frontal_Cortex_BA9	1284	3.89408099688474e-05	4	4	4	8.257634e-06	MUTYH	chr1:45329437:45330516:clu_39676:ENSG00000132781.17	rs12139364
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Hippocampus	983	5.08646998982706e-05	3	3	3	2.143728e-06	MS4A7	chr11:60383288:60386717:clu_5328:ENSG00000166927.12	rs950802
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Hypothalamus	1127	4.43655723158829e-05	6	6	6	1.125095e-06	GDPD1	chr17:59248785:59267041:clu_11421:ENSG00000153982.10	rs11869483
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Nucleus_accumbens_basal_ganglia	1388	3.60230547550432e-05	3	3	3	5.748028e-07	MS4A7	chr11:60383288:60386717:clu_6012:ENSG00000166927.12	rs950802
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Putamen_basal_ganglia	1060	4.71698113207547e-05	5	5	5	1.043167e-08	NOD1	chr7:30460041:30478606:clu_22905:ENSG00000106100.10	rs2190504
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Spinal_cord_cervical_c-1	938	5.33049040511727e-05	4	4	4	8.682525e-07	MS4A7	chr11:60383288:60386717:clu_5095:ENSG00000166927.12	rs950802
Ferritin	Brain	sQTL	sQTL_GTEx_Brain_Substantia_nigra	725	6.89655172413793e-05	2	2	2	2.114689e-05	MUTYH	chr1:45329437:45330516:clu_32472:ENSG00000132781.17	rs66732088
Ferritin	KidneyCortex	eQTL	eQTL_GTEx_Kidney_Cortex	262	0.000190839694656489	1	1	1	8.008606e-05	BTNL3	ENSG00000168903.8	rs72494581
Ferritin	KidneyCortex	sQTL	sQTL_GTEx_Kidney_Cortex	460	0.000108695652173913	2	2	2	1.945228e-08	NOD1	chr7:30460041:30478606:clu_19549:ENSG00000106100.10	rs2709801
Ferritin	Liver	eQTL	eQTL_GTEx_Liver	1560	3.20512820512821e-05	6	6	6	1.5307e-08	TSPOAP1	ENSG00000005379.15	rs8263
Ferritin	Liver	sQTL	sQTL_GTEx_Liver	1192	4.19463087248322e-05	11	11	11	4.088143e-10	TMPRSS6	chr22:37066962:37069073:clu_20165:ENSG00000187045.16	rs877908
Ferritin	Pituitary	eQTL	eQTL_GTEx_Pituitary	2407	2.0772746157042e-05	10	10	10	1.253353e-15	ORMDL1	ENSG00000128699.13	rs6741074
Ferritin	Pituitary	sQTL	sQTL_GTEx_Pituitary	2047	2.44259892525647e-05	8	8	8	8.45867e-12	NOD1	chr7:30460041:30478606:clu_31333:ENSG00000106100.10	rs2190504
Ferritin	Spleen	eQTL	eQTL_GTEx_Spleen	2968	1.68463611859838e-05	9	9	9	7.401219e-13	SORD	ENSG00000140263.13	rs4774514
Ferritin	Spleen	sQTL	sQTL_GTEx_Spleen	2001	2.49875062468766e-05	8	8	8	2.151951e-18	NOD1	chr7:30460041:30478606:clu_28614:ENSG00000106100.10	rs2529440
